2017-04-18 15:03:38 INFO  Executor:54 - Running task 1.0 in stage 1.0 (TID 4)
2017-04-18 15:03:38 INFO  Executor:54 - Running task 0.0 in stage 1.0 (TID 7)
2017-04-18 15:03:38 INFO  Executor:54 - Running task 2.0 in stage 1.0 (TID 5)
2017-04-18 15:03:38 INFO  Executor:54 - Running task 3.0 in stage 1.0 (TID 6)
2017-04-18 15:03:38 INFO  ShuffleBlockFetcherIterator:54 - Getting 0 non-empty blocks out of 4 blocks
2017-04-18 15:03:39 INFO  ShuffleBlockFetcherIterator:54 - Getting 0 non-empty blocks out of 4 blocks
2017-04-18 15:03:39 INFO  ShuffleBlockFetcherIterator:54 - Getting 0 non-empty blocks out of 4 blocks
2017-04-18 15:03:39 INFO  ShuffleBlockFetcherIterator:54 - Getting 4 non-empty blocks out of 4 blocks
2017-04-18 15:03:39 INFO  ShuffleBlockFetcherIterator:54 - Started 0 remote fetches in 9 ms
2017-04-18 15:03:39 INFO  ShuffleBlockFetcherIterator:54 - Started 0 remote fetches in 9 ms
2017-04-18 15:03:39 INFO  ShuffleBlockFetcherIterator:54 - Started 0 remote fetches in 9 ms
2017-04-18 15:03:39 INFO  ShuffleBlockFetcherIterator:54 - Started 0 remote fetches in 17 ms
2017-04-18 15:03:39 INFO  Executor:54 - Finished task 3.0 in stage 1.0 (TID 6). 1769 bytes result sent to driver
2017-04-18 15:03:39 INFO  TaskSetManager:54 - Finished task 3.0 in stage 1.0 (TID 6) in 91 ms on localhost (executor driver) (1/4)
2017-04-18 15:03:39 INFO  Executor:54 - Finished task 0.0 in stage 1.0 (TID 7). 1873 bytes result sent to driver
2017-04-18 15:03:39 INFO  Executor:54 - Finished task 2.0 in stage 1.0 (TID 5). 1842 bytes result sent to driver
2017-04-18 15:03:39 INFO  TaskSetManager:54 - Finished task 2.0 in stage 1.0 (TID 5) in 104 ms on localhost (executor driver) (2/4)
2017-04-18 15:03:39 INFO  TaskSetManager:54 - Finished task 0.0 in stage 1.0 (TID 7) in 100 ms on localhost (executor driver) (3/4)
2017-04-18 15:03:39 INFO  Executor:54 - Finished task 1.0 in stage 1.0 (TID 4). 1842 bytes result sent to driver
2017-04-18 15:03:39 INFO  BlockManagerInfo:54 - Removed broadcast_1_piece0 on 10.142.33.143:38374 in memory (size: 3.1 KB, free: 366.2 MB)
2017-04-18 15:03:39 INFO  TaskSetManager:54 - Finished task 1.0 in stage 1.0 (TID 4) in 113 ms on localhost (executor driver) (4/4)
2017-04-18 15:03:39 INFO  TaskSchedulerImpl:54 - Removed TaskSet 1.0, whose tasks have all completed, from pool 
2017-04-18 15:03:39 INFO  DAGScheduler:54 - ResultStage 1 (collect at FeatureRDD.scala:133) finished in 0.114 s
2017-04-18 15:03:39 INFO  DAGScheduler:54 - Job 0 finished: collect at FeatureRDD.scala:133, took 0.507004 s
2017-04-18 15:03:39 INFO  SparkContext:54 - Starting job: sortBy at GenomicRDD.scala:1144
2017-04-18 15:03:39 INFO  DAGScheduler:54 - Got job 1 (sortBy at GenomicRDD.scala:1144) with 4 output partitions
2017-04-18 15:03:39 INFO  DAGScheduler:54 - Final stage: ResultStage 2 (sortBy at GenomicRDD.scala:1144)
2017-04-18 15:03:39 INFO  DAGScheduler:54 - Parents of final stage: List()
2017-04-18 15:03:39 INFO  DAGScheduler:54 - Missing parents: List()
2017-04-18 15:03:39 INFO  DAGScheduler:54 - Submitting ResultStage 2 (MapPartitionsRDD[10] at sortBy at GenomicRDD.scala:1144), which has no missing parents
2017-04-18 15:03:39 INFO  MemoryStore:54 - Block broadcast_3 stored as values in memory (estimated size 6.5 KB, free 366.0 MB)
2017-04-18 15:03:39 INFO  MemoryStore:54 - Block broadcast_3_piece0 stored as bytes in memory (estimated size 3.6 KB, free 366.0 MB)
2017-04-18 15:03:39 INFO  BlockManagerInfo:54 - Added broadcast_3_piece0 in memory on 10.142.33.143:38374 (size: 3.6 KB, free: 366.2 MB)
2017-04-18 15:03:39 INFO  SparkContext:54 - Created broadcast 3 from broadcast at DAGScheduler.scala:996
2017-04-18 15:03:39 INFO  DAGScheduler:54 - Submitting 4 missing tasks from ResultStage 2 (MapPartitionsRDD[10] at sortBy at GenomicRDD.scala:1144)
2017-04-18 15:03:39 INFO  TaskSchedulerImpl:54 - Adding task set 2.0 with 4 tasks
